NS_SQUID,F_SQUID,NS_Fluxgate,EW_Fluxgate,Z_Fluxgate
127.7002,10.7901,10939.7895,-79.5198,-22665.8232
127.7014,10.7956,10939.802,-79.561,-22665.7664
127.7049,10.8061,10939.802,-79.561,-22665.7664
127.7045,10.8195,10939.8002,-79.2658,-22665.6336
127.7053,10.8116,10939.8,-79.2353,-22665.6367
127.7065,10.8242,10939.8,-79.2353,-22665.6367
127.7085,10.8152,10939.806,-78.9764,-22665.6232
127.7108,10.8061,10939.806,-78.9764,-22665.6232
127.7134,10.8159,10939.819,-79.158,-22665.6584
127.7153,10.8198,10939.8216,-79.2118,-22665.6438
127.7179,10.8161,10939.8216,-79.2118,-22665.6438
127.7204,10.8142,10939.8245,-79.5101,-22665.6832
127.7214,10.8186,10939.8245,-79.5101,-22665.6832
127.7268,10.822,10939.8349,-79.5494,-22665.6497
127.7288,10.8174,10939.8402,-79.5485,-22665.6747
127.7301,10.8188,10939.8402,-79.5485,-22665.6747
127.733,10.8139,10939.8375,-79.5291,-22665.6904
127.7355,10.8171,10939.8375,-79.5291,-22665.6904
127.7348,10.7897,10939.8187,-79.4742,-22665.7253
127.7379,10.8114,10939.8051,-79.494,-22665.7241
127.7392,10.8079,10939.8051,-79.494,-22665.7241
127.7414,10.8107,10939.7904,-79.3004,-22665.7022
127.7434,10.8089,10939.7904,-79.3004,-22665.7022
127.7462,10.8104,10939.8,-79.2607,-22665.6963
127.7499,10.8126,10939.7996,-79.3,-22665.7027
127.7549,10.8215,10939.7996,-79.3,-22665.7027
127.7581,10.8231,10939.8056,-79.3289,-22665.7142
127.7638,10.8318,10939.8056,-79.3289,-22665.7142
127.7659,10.8403,10939.7998,-79.29,-22665.7263
127.7673,10.8634,10939.7946,-79.0609,-22665.7541
127.773,10.875,10939.7946,-79.0609,-22665.7541
127.7768,10.8887,10939.7858,-78.9819,-22665.7279
127.7806,10.9103,10939.7858,-78.9819,-22665.7279
127.781,10.9411,10939.784,-78.9853,-22665.7182
